Id,Rank,RankInten,RankOldAndNew,MovieCd,MovieNm,OpenDt,SalesAmt,SalesShare,SalesInten,SalesChange,SalesAcc,AudiCnt,AudiInten,AudiChange,AudiAcc,ScrnCnt,ShowCnt
1757,7,0,OLD,20196702,"야구소녀",2020-06-18,6065640,0.4,-4350560,-41.8,174742760,976,-279,-22.2,20466,134,204
1758,8,-4,OLD,20197863,"침입자",2020-06-04,4631160,0.3,-20073780,-81.3,4735225760,725,-2277,-75.8,522919,158,211
1759,9,-3,OLD,20179462,"위대한 쇼맨",2017-12-20,4144640,0.3,-4528780,-52.2,13130213340,718,-681,-48.7,1663715,103,126
1760,10,0,NEW,20208828,"불량한 가족",2020-07-09,5445000,0.4,5445000,100,5445000,605,605,100,605,3,4
1761,1,0,OLD,20193069,"#살아있다",2020-06-24,1240607900,73.9,-70688100,-5.4,2567573900,148991,-55075,-27,357063,1637,7311
1762,2,0,OLD,20183813,"결백",2020-06-10,133520780,8,65532660,96.4,5527355100,16636,6012,56.6,617896,622,1862
1763,3,0,OLD,20191048,"온워드: 단 하루의 기적",2020-06-17,85153920,5.1,38485540,82.5,1703767560,10505,3412,48.1,192053,519,1254
1764,4,1,OLD,20050112,"배트맨 비긴즈",2005-06-24,32377180,1.9,14573280,81.9,5602407080,4676,2399,105.4,876197,297,507
1765,5,-1,OLD,20193859,"사라진 시간",2020-06-18,28640180,1.7,8403880,41.5,1485497400,3641,490,15.6,165935,458,826
1766,6,3,OLD,20179462,"위대한 쇼맨",2017-12-20,20382260,1.2,16237620,391.8,13150595600,3389,2671,372,1667104,136,176
1767,7,-1,OLD,20209644,"엔딩스 비기닝스",2020-06-24,16194060,1,4906360,43.5,29506760,2021,282,16.2,3985,251,354
1768,8,5,OLD,20178522,"콜 미 바이 유어 네임",2018-03-22,11093840,0.7,9422700,563.8,1861034528,1353,1068,374.7,220995,40,55
1769,9,-2,OLD,20196702,"야구소녀",2020-06-18,11124660,0.7,5059020,83.4,185867420,1317,341,34.9,21783,87,143
1770,10,0,NEW,20204644,"밤쉘: 세상을 바꾼 폭탄선언",2020-07-08,10718000,0.6,10718000,100,16966000,1210,1210,100,1991,5,5
1771,1,0,OLD,20193069,"#살아있다",2020-06-24,1380200100,73.4,139592200,11.3,3947774000,152550,3559,2.4,509613,1713,7839
1772,2,0,OLD,20183813,"결백",2020-06-10,174616680,9.3,41095900,30.8,5701971780,20322,3686,22.2,638218,647,1913
1773,3,0,OLD,20191048,"온워드: 단 하루의 기적",2020-06-17,119363300,6.3,34209380,40.2,1823130860,13653,3148,30,205706,539,1316
1774,4,0,OLD,20050112,"배트맨 비긴즈",2005-06-24,36942160,2,4564980,14.1,5639349240,5175,499,10.7,881372,300,525
1775,5,0,OLD,20193859,"사라진 시간",2020-06-18,33274820,1.8,4634640,16.2,1518772220,3876,235,6.5,169811,477,846
1776,6,0,OLD,20179462,"위대한 쇼맨",2017-12-20,21245680,1.1,863420,4.2,13171841280,3529,140,4.1,1670633,140,189
1777,7,0,OLD,20209644,"엔딩스 비기닝스",2020-06-24,16339260,0.9,145200,0.9,45846020,1874,-147,-7.3,5859,239,346
1778,8,1,OLD,20196702,"야구소녀",2020-06-18,12291120,0.7,1166460,10.5,198158540,1335,18,1.4,23118,91,141
1779,9,3,OLD,20197863,"침입자",2020-06-04,10098840,0.5,1972060,24.3,4753451380,1172,137,13.2,525126,181,240
1780,10,1,OLD,20090161,"슬럼독 밀리어네어",2009-03-19,6456500,0.3,-158500,-2.4,7406215800,1080,-28,-2.5,1114854,47,62
1781,1,0,OLD,20193069,"#살아있다",2020-06-24,2644122800,73.5,1263922700,91.6,6591896800,294255,141705,92.9,803868,1882,9221
1782,2,0,OLD,20183813,"결백",2020-06-10,328331920,9.1,153715240,88,6030303700,37915,17593,86.6,676133,644,1995
1783,3,0,OLD,20191048,"온워드: 단 하루의 기적",2020-06-17,303923140,8.5,184559840,154.6,2127054000,35845,22192,162.5,241551,654,1704
1784,4,0,OLD,20050112,"배트맨 비긴즈",2005-06-24,59316700,1.6,22374540,60.6,5698665940,8116,2941,56.8,889488,301,544
1785,5,1,OLD,20179462,"위대한 쇼맨",2017-12-20,34046200,0.9,12800520,60.2,13205887480,5605,2076,58.8,1676238,142,187
1786,6,-1,OLD,20193859,"사라진 시간",2020-06-18,42937120,1.2,9662300,29,1561709340,4962,1086,28,174773,442,685
1787,7,1,OLD,20196702,"야구소녀",2020-06-18,28137520,0.8,15846400,128.9,226296060,2955,1620,121.3,26073,99,156
1788,8,-1,OLD,20209644,"엔딩스 비기닝스",2020-06-24,20639860,0.6,4300600,26.3,66485880,2327,453,24.2,8186,246,327
1789,9,0,OLD,20197863,"침입자",2020-06-04,16920380,0.5,6821540,67.5,4770371760,1977,805,68.7,527103,160,233
1790,10,0,OLD,20090161,"슬럼독 밀리어네어",2009-03-19,8002500,0.2,1546000,23.9,7414218300,1339,259,24,1116193,45,63
1791,1,0,OLD,20193069,"#살아있다",2020-06-24,2263447540,70.3,-380675260,-14.4,8855344340,256133,-38122,-13,1060001,1869,9044
1792,2,0,OLD,20183813,"결백",2020-06-10,338400160,10.5,10068240,3.1,6368703860,39937,2022,5.3,716070,644,1981
1793,3,0,OLD,20191048,"온워드: 단 하루의 기적",2020-06-17,316725820,9.8,12802680,4.2,2443779820,38300,2455,6.8,279851,661,1701
1794,4,0,OLD,20050112,"배트맨 비긴즈",2005-06-24,55998880,1.7,-3317820,-5.6,5754664820,7924,-192,-2.4,897412,295,526
1795,5,0,OLD,20179462,"위대한 쇼맨",2017-12-20,35226340,1.1,1180140,3.5,13241113820,5844,239,4.3,1682082,140,182
1796,6,0,OLD,20193859,"사라진 시간",2020-06-18,46485780,1.4,3548660,8.3,1608195120,5517,555,11.2,180290,428,676
1797,7,0,OLD,20196702,"야구소녀",2020-06-18,19574080,0.6,-8563440,-30.4,245870140,2315,-640,-21.7,28388,92,149
1798,8,0,OLD,20209644,"엔딩스 비기닝스",2020-06-24,19335360,0.6,-1304500,-6.3,85821240,2205,-122,-5.2,10391,240,312
1799,9,0,OLD,20197863,"침입자",2020-06-04,17800280,0.6,879900,5.2,4788172040,2156,179,9.1,529259,164,237
1800,10,0,OLD,20090161,"슬럼독 밀리어네어",2009-03-19,11653000,0.4,3650500,45.6,7425871300,1941,602,45,1118134,46,64
1801,1,0,OLD,20193069,"#살아있다",2020-06-24,556892400,69.4,-1706555140,-75.4,9412236740,67845,-188288,-73.5,1127846,1644,7111
1802,2,0,OLD,20183813,"결백",2020-06-10,97273480,12.1,-241126680,-71.3,6465977340,12103,-27834,-69.7,728173,583,1759
1803,3,0,OLD,20191048,"온워드: 단 하루의 기적",2020-06-17,61022340,7.6,-255703480,-80.7,2504802160,7590,-30710,-80.2,287441,519,1181
1804,4,0,OLD,20050112,"배트맨 비긴즈",2005-06-24,16525880,2.1,-39473000,-70.5,5771190700,2063,-5861,-74,899475,261,447
1805,5,1,OLD,20193859,"사라진 시간",2020-06-18,14594980,1.8,-31890800,-68.6,1622790100,1821,-3696,-67,182111,355,575
1806,6,-1,OLD,20179462,"위대한 쇼맨",2017-12-20,9773640,1.2,-25452700,-72.3,13250887460,1615,-4229,-72.4,1683697,139,182
1807,7,1,OLD,20209644,"엔딩스 비기닝스",2020-06-24,7674520,1,-11660840,-60.3,93495760,961,-1244,-56.4,11352,212,285
1808,8,-1,OLD,20196702,"야구소녀",2020-06-18,5344360,0.7,-14229720,-72.7,251214500,691,-1624,-70.2,29079,83,132
1809,9,0,OLD,20197863,"침입자",2020-06-04,5097400,0.6,-12702880,-71.4,4793269440,633,-1523,-70.6,529892,135,180
1810,10,2,OLD,20178522,"콜 미 바이 유어 네임",2018-03-22,3461500,0.4,-6562760,-65.5,1890938788,434,-702,-61.8,224344,42,53
